央视频道,#genre#
CCTV-1 综合频道,https://stream1.freetv.fun/d61aa6b7302b43c9b1a30ebe8f085d7e892f6982c299c9f0d4e6eceec35396e2.m3u8#http://69.30.245.50/live/cctv1.m3u8#https://stream1.freetv.fun/fb9d0546553a21c4591a86f298dad5f4b1556dc13b03d1aaa1c17d787f27678e.m3u8#https://stream1.freetv.fun/5c2643aa787dcf394c083f4b9b4e085cfd6f088a2e6920e19ec5e5026a6f01dc.m3u8#https://stream1.freetv.fun/0f6e9bc6577eb102891ce2d33c707ab034e18bba4a718aa16e46a75788682fb8.m3u8
CCTV-2 财经频道,http://107.150.60.122/live/cctv2hd.m3u8#http://107.150.60.122/live/cctv2hd.m3u8#http://74.91.26.218:82/live/cctv2hd.m3u8#http://74.91.26.218:82/live/cctv2hd.m3u8#http://74.91.26.218:82/live/cctv2hd.m3u8
CCTV-3 综艺频道,http://107.150.60.122/live/cctv3hd.m3u8#http://107.150.60.122/live/cctv3hd.m3u8#http://74.91.26.218:82/live/cctv3hd.m3u8#http://74.91.26.218:82/live/cctv3hd.m3u8#https://php.jdshipin.com/TVOD/iptv.php?id=cctv3
CCTV-4K 超高清,https://stream1.freetv.fun/2e338d7416c3646f38a085799295f137668d96a80a4393b71f1b82735ebdc7e8.m3u8#http://198.204.240.250:82/live/cctv4k.m3u8#https://stream1.freetv.fun/e82d0e0d33a069b42136cd6882919e8959039bfad2d4145dc704687c7ae9f864.m3u8#https://stream1.freetv.fun/5d4213276b9703523ca4f8cbf694ad036106486cfa7c37443a8385da27dd3feb.m3u8#http://107.150.60.122/live/cctv4k.m3u8
CCTV-5 体育频道,http://107.150.60.122/live/cctv5p.m3u8#http://107.150.60.122/live/cctv5hd.m3u8#http://107.150.60.122/live/cctv5hd.m3u8#https://cdn16.163189.xyz/163189/cctv5-2#https://cdn16.163189.xyz/163189/cctv5-2
CCTV-5+ 体育赛事,http://107.150.60.122/live/cctv5p.m3u8#https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv5p#https://php.jdshipin.com/TVOD/iptv.php?id=cctv5p#http://111.61.208.131:9019/hls/18/index.m3u8#https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv5p
CCTV-6 电影频道,http://69.30.245.50/live/cctv6.m3u8#http://107.150.60.122/live/cctv6hd.m3u8#http://74.91.26.218:82/live/cctv6hd.m3u8#http://74.91.26.218:82/live/cctv6hd.m3u8#http://38.75.136.137:98/gslb/dsdqpub/cctv6hd.m3u8?auth=testpub
CCTV-7 国防军事,http://107.150.60.122/live/cctv7hd.m3u8#http://74.91.26.218:82/live/cctv7hd.m3u8#http://74.91.26.218:82/live/cctv7hd.m3u8#http://107.150.60.122/live/cctv7hd.m3u8#http://74.91.26.218:82/live/cctv7hd.m3u8
CCTV-8 电视剧,http://107.150.60.122/live/cctv8hd.m3u8#http://74.91.26.218:82/live/cctv8hd.m3u8#http://74.91.26.218:82/live/cctv8hd.m3u8#http://74.91.26.218:82/live/cctv8hd.m3u8#http://38.75.136.137:98/gslb/dsdqpub/cctv8hd.m3u8?auth=testpub
CCTV-8K 超高清,http://107.150.60.122/live/cctv8k.m3u8#http://38.75.136.137:98/gslb/dsdqpub/cctv8k.m3u8?auth=testpub#http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv8k#http://107.150.60.122/live/cctv8k.m3u8
CCTV-9 纪录频道,https://stream1.freetv.fun/bac2107c8204c290efc6c6224146418641af787e31995157d64d567afbc00279.m3u8#http://107.150.60.122/live/cctv9hd.m3u8#http://74.91.26.218:82/live/cctv9hd.m3u8#http://107.150.60.122/live/cctv9hd.m3u8#http://74.91.26.218:82/live/cctv9hd.m3u8
CCTV-10 科教频道,http://107.150.60.122/live/cctv10hd.m3u8#http://107.150.60.122/live/cctv10hd.m3u8#http://74.91.26.218:82/live/cctv10hd.m3u8#http://74.91.26.218:82/live/cctv10hd.m3u8#http://74.91.26.218:82/live/cctv10hd.m3u8
CCTV-11 戏曲频道,http://107.150.60.122/live/cctv11hd.m3u8#http://107.150.60.122/live/cctv11hd.m3u8#http://74.91.26.218:82/live/cctv11hd.m3u8#http://74.91.26.218:82/live/cctv11hd.m3u8#http://74.91.26.218:82/live/cctv11hd.m3u8
CCTV-12 社会与法,http://107.150.60.122/live/cctv12hd.m3u8#http://107.150.60.122/live/cctv12hd.m3u8#http://74.91.26.218:82/live/cctv12hd.m3u8#http://74.91.26.218:82/live/cctv12hd.m3u8#http://74.91.26.218:82/live/cctv12hd.m3u8
CCTV-13 新闻频道,http://107.150.60.122/live/cctv13hd.m3u8#http://74.91.26.218:82/live/cctv13hd.m3u8#http://74.91.26.218:82/live/cctv13hd.m3u8#http://38.75.136.137:98/gslb/dsdqpub/cctv13hd.m3u8?auth=testpub#https://php.jdshipin.com/TVOD/iptv.php?id=cctv13
CCTV-14 少儿频道,http://74.91.26.218:82/live/cctv14hd.m3u8#http://74.91.26.218:82/live/cctv14hd.m3u8#http://74.91.26.218:82/live/cctv14hd.m3u8#http://107.150.60.122/live/cctv14hd.m3u8#https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv14
CCTV-15 音乐频道,http://107.150.60.122/live/cctv15hd.m3u8#http://74.91.26.218:82/live/cctv15hd.m3u8#http://74.91.26.218:82/live/cctv15hd.m3u8#http://107.150.60.122/live/cctv15hd.m3u8#http://38.75.136.137:98/gslb/dsdqpub/cctv15hd.m3u8?auth=testpub
CCTV-16 奥林匹克,http://107.150.60.122/live/cctv16hd.m3u8#http://107.150.60.122/live/cctv16hd.m3u8#http://38.75.136.137:98/gslb/dsdqpub/cctv16hd.m3u8?auth=testpub#http://38.75.136.137:98/gslb/dsdqpub/cctv16hd.m3u8?auth=testpub#https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv16
CCTV-17 农业农村,http://107.150.60.122/live/cctv17hd.m3u8#http://107.150.60.122/live/cctv17hd.m3u8#http://74.91.26.218:82/live/cctv17hd.m3u8#http://74.91.26.218:82/live/cctv17hd.m3u8#http://38.75.136.137:98/gslb/dsdqpub/cctv17hd.m3u8?auth=testpub
CCTVÄ¸ÇÅ°Ç,http://38.75.136.137:98/gslb/dsdqpub/sjdl.m3u8?auth=testpub
CCTVÅ¤®È§Å°Ç,http://38.75.136.137:98/gslb/dsdqpub/ystq.m3u8?auth=testpub
CCTVÅ¥³Æ§Æ¶Å°,http://38.75.136.137:98/gslb/dsdqpub/nxss.m3u8?auth=testpub
CCTVÆÆ§Å§Åº,http://38.75.136.137:98/gslb/dsdqpub/hjjc.m3u8?auth=testpub
CCTVÇΜÈ§ÆÅ,http://38.75.136.137:98/gslb/dsdqpub/dszn.m3u8?auth=testpub
CCTVÇ¬¬Ä¸Å§Åº,http://38.75.136.137:98/gslb/dsdqpub/dyjc.m3u8?auth=testpub
CCTVÉ£ÄºÅ§Åº,http://38.75.136.137:98/gslb/dsdqpub/fyjc.m3u8?auth=testpub
CCTVÉ£ÄºÈ¶³Ç,http://38.75.136.137:98/gslb/dsdqpub/fyzq.m3u8?auth=testpub
CCTVÉ£ÄºÉ³Ä¹,http://38.75.136.137:98/gslb/dsdqpub/fyyy.m3u8?auth=testpub
CCTV世界地理,http://38.75.136.137:98/gslb/dsdqpub/sjdl.m3u8?auth=testpub
CCTV兵器科技,http://38.75.136.137:98/gslb/dsdqpub/gfjs.m3u8?auth=testpub
CCTV央视台球,http://173.208.212.130:8181/720p/ystq.m3u8#http://38.75.136.137:98/gslb/dsdqpub/ystq.m3u8?auth=testpub
CCTV怀旧剧场,http://173.208.212.130:8181/720p/hjjc.m3u8#http://38.75.136.137:98/gslb/dsdqpub/hjjc.m3u8?auth=testpub
CCTV电视指南,http://38.75.136.137:98/gslb/dsdqpub/dszn.m3u8?auth=testpub
CCTV第一剧场,https://stream1.freetv.fun/082605c18b041701787a8a5628c178edede0874bb6b833775#http://173.208.212.130:8181/720p/dyjc.m3u8#http://38.75.136.137:98/gslb/dsdqpub/dyjc.m3u8?auth=testpub
CCTV风云剧场,http://38.75.136.137:98/gslb/dsdqpub/fyjc.m3u8?auth=testpub#http://173.208.212.130:8181/720p/fyjc.m3u8
CCTV风云足球,https://stream1.freetv.fun/f2138a8afdae84246099c1f3bb72aa3714e369f6cec03df0f951f5883f2ca5f8.m3u8#http://38.75.136.137:98/gslb/dsdqpub/fyzq.m3u8?auth=testpub#http://173.208.212.130:8181/720p/fyzq.m3u8
CCTV风云音乐,http://173.208.212.130:8181/720p/fyyy.m3u8#http://38.75.136.137:98/gslb/dsdqpub/fyyy.m3u8?auth=testpub
CCTV高尔夫网球,http://38.75.136.137:98/gslb/dsdqpub/gefwq.m3u8?auth=testpub
中央新影发现之旅,http://38.75.136.137:98/gslb/dsdqpub/fxzl.m3u8?auth=testpub
中央新影老故事,http://38.75.136.137:98/gslb/dsdqpub/lgs.m3u8?auth=testpub
卫视频道,#genre#
三沙卫视,http://38.75.136.137:98/gslb/dsdqpub/ssws.m3u8?auth=testpub#https://iptv.catvod.com/live.php?id=%E4%B8%89%E6%B2%99%E5%8D%AB%E8%A7%86&line=3#http://47.119.24.76:59093/961023778#http://17752995.xyz:51111/961023778
东南卫视,http://38.75.136.137:98/gslb/dsdqpub/dnwshd.m3u8?auth=testpub#http://115.29.208.41:34567/gd.php?id=dnws&kl=www.9kds.com#http://207.56.13.146:81/cdnlive/dnws.m3u8#http://17752995.xyz:51111/849116810#http://47.119.24.76:59093/849116810
东方卫视,http://38.75.136.137:98/gslb/dsdqpub/dfwshd.m3u8?auth=testpub#http://115.29.208.41:34567/gd.php?id=dfws&kl=www.9kds.com#http://17752995.xyz:51111/651632648#http://47.119.24.76:59093/651632648#http://173.208.212.130:8181/720p/dfws.m3u8
东森美洲卫视,http://38.64.72.148:80/hls/modn/list/2015/chunklist0.m3u8#http://38.64.72.148:80/hls/modn/list/2015/chunklist0.m3u8#http://udnhls.skilldns.com/dsmz.m3u8#http://udnhls.skilldns.com:80/dsmz.m3u8#https://stream1.freetv.fun/dong-sen-mei-zhou-wei-shi-1.m3u8
中国农林卫视,http://47.119.24.76:59093/956904896#http://17752995.xyz:51111/956904896
云南卫视,http://38.75.136.137:98/gslb/dsdqpub/ynwshd.m3u8?auth=testpub#http://112.27.235.94:8000/hls/40/index.m3u8#http://115.29.208.41:34567/gd.php?id=ynws&kl=www.9kds.com#http://207.56.13.146:81/cdnlive/ynws.m3u8#http://207.56.13.146:81/cdnlive/ynws.m3u8
